Ano,2010,2015,2020,2024
Kcal,ND,118,118,115
Proteínas,1.287,1.1,1.1,1.4
Grasas,2.058,1.8,1.8,1.6
Colesterol,0,0,0,0
Carbohidratos,24.27,24.1,24.1,23.8
Azúcares,9.183,10.0,10.0,8.5
Fibra,0.0,1.6,1.6,1.7
Sodio,96,91,91,87
