Ano,2010,2015,2020,2024
Kcal,ND,111,111,98
Proteínas,2.196,3.0,3.0,2.8
Grasas,2.526,1.7,1.7,1.1
Colesterol,ND,0,0,0
Carbohidratos,22.44,21.1,21.1,19.9
Azúcares,10.35,5.0,5.0,0.45
Fibra,ND,2.8,2.8,3.7
Sodio,54.3,97.0,97.0,113
